Cruise:METAVAR:TEXT:21	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees East]	Latitude [degrees North]	Bot. Depth [m]	Depth [m]	Temperature [°C]	Salinity [psu]	Conductivity [mS/cm]	OxcyGd [%]	Oxygen [ml/l]	RedOx [V]	Sound [m/s]	Sigma [kg/m3]	DiscSecciDepth [m]	Color	Dredge Conc [mg/l]	SST [°C]	Potential Temperature ~$q~# [°C]:DOUBLE	In situ Density Anomaly [kg/m~^3]:DOUBLE
Aquarius2	Aq44	C	2006-07-04T21:37			46	-0.21	21.079	7.176	999999	187.24	11.16	0.196	999999	3.412	999999	999999	999999	999999	21.079	3.46642
							-0.2	21.079	7.173	999999	187.15	11.16	0.196	999999	3.409	999999	999999	999999	999999	21.079	3.46421
							-0.2	21.079	7.173	999999	186.75	11.13	0.196	999999	3.409	999999	999999	999999	999999	21.079	3.46421
							-0.19	21.069	7.175	999999	186.71	11.13	0.196	999999	3.413	999999	999999	999999	999999	21.069	3.46806
							-0.17	21.074	7.175	999999	185.4	11.05	0.196	999999	3.412	999999	999999	999999	999999	21.074	3.467
							-0.07	21.078	7.176	999999	185.72	11.07	0.196	999999	3.413	999999	999999	999999	999999	21.078	3.46729
							0.45	20.957	6.939	999999	190.25	11.38	0.196	999999	3.263	999999	999999	999999	999999	20.9569	3.31885
							0.66	19.507	7.087	999999	200.74	12.35	0.197	999999	3.697	999999	999999	999999	999999	19.5069	3.75207
							0.87	19.507	7.087	999999	200.74	12.35	0.197	999999	3.698	999999	999999	999999	999999	19.5069	3.75304
							0.87	19.507	7.071	999999	200.74	12.35	0.197	999999	3.686	999999	999999	999999	999999	19.5069	3.74094
							1.09	21.253	6.757	999999	218.26	13	0.197	999999	3.061	999999	999999	999999	999999	21.2528	3.11674
							1.3	18.628	7.153	999999	218.26	13.66	0.197	999999	3.934	999999	999999	999999	999999	18.6278	3.98906
							1.5	18.461	7.182	999999	218.26	13.7	0.197	999999	3.991	999999	999999	999999	999999	18.4608	4.04604
							1.7	18.321	7.207	999999	218.26	13.74	0.197	999999	4.039	999999	999999	999999	999999	18.3208	4.09426
							2.11	18.321	7.206	999999	218.26	13.74	0.197	999999	4.041	999999	999999	999999	999999	18.3207	4.09539
							2.34	17.591	7.111	999999	218.26	13.95	0.197	999999	4.114	999999	999999	999999	999999	17.5907	4.16891
							2.59	17.591	7.111	999999	218.26	13.95	0.197	999999	4.115	999999	999999	999999	999999	17.5906	4.17007
							2.59	17.591	7.111	999999	218.26	13.95	0.198	999999	4.115	999999	999999	999999	999999	17.5906	4.17007
							2.85	16.989	7.161	999999	218.26	14.12	0.198	999999	4.269	999999	999999	999999	999999	16.9886	4.32417
							3.1	16.755	7.156	999999	218.26	14.19	0.198	999999	4.31	999999	999999	999999	999999	16.7546	4.36516
							3.36	16.493	7.157	999999	218.26	14.27	0.198	999999	4.36	999999	999999	999999	999999	16.4926	4.41527
							3.62	16.264	7.169	999999	218.26	14.33	0.198	999999	4.412	999999	999999	999999	999999	16.2635	4.46709
							4.43	15.276	7.136	999999	218.26	14.64	0.199	999999	4.564	999999	999999	999999	999999	15.2755	4.61804
							4.72	14.759	7.117	999999	218.26	14.8	0.199	999999	4.636	999999	999999	999999	999999	14.7585	4.69071
							5.01	14.049	7.1	999999	218.26	15.03	0.2	999999	4.737	999999	999999	999999	999999	14.0485	4.792
							5.55	12.59	7.218	999999	218.26	15.51	0.201	999999	5.046	999999	999999	999999	999999	12.5895	5.09919
							5.81	12.254	7.223	999999	218.26	15.63	0.201	999999	5.096	999999	999999	999999	999999	12.2535	5.15007
							6.1	11.803	7.214	999999	218.26	15.79	0.201	999999	5.151	999999	999999	999999	999999	11.8025	5.20386
							6.38	11.386	7.221	999999	218.26	15.94	0.202	999999	5.21	999999	999999	999999	999999	11.3855	5.26329
							6.38	10.982	7.243	999999	218.26	16.08	0.202	999999	5.276	999999	999999	999999	999999	10.9815	5.32935
							7	10.391	7.294	999999	218.26	16.3	0.203	999999	5.387	999999	999999	999999	999999	10.3905	5.43996
							7.57	10.234	7.303	999999	214.27	16.05	0.203	999999	5.415	999999	999999	999999	999999	10.2334	5.46704
							7.86	10.04	7.269	999999	205.28	15.45	0.204	999999	5.411	999999	999999	999999	999999	10.0394	5.46314
							8.15	10.04	7.269	999999	201.95	15.2	0.204	999999	5.412	999999	999999	999999	999999	10.0394	5.46452
							8.71	9.459	7.29	999999	190.45	14.53	0.205	999999	5.492	999999	999999	999999	999999	9.4584	5.54376
							9.02	9.28	7.287	999999	189.37	14.51	0.205	999999	5.508	999999	999999	999999	999999	9.2794	5.56062
							9.32	9.28	7.252	999999	188.78	14.47	0.205	999999	5.482	999999	999999	999999	999999	9.2794	5.53485
							9.65	8.89	7.309	999999	186.89	14.45	0.205	999999	5.566	999999	999999	999999	999999	8.8894	5.61792
							9.97	8.755	7.316	999999	184.16	14.28	0.206	999999	5.585	999999	999999	999999	999999	8.7544	5.63732
							10.28	8.631	7.363	999999	181.49	14.12	0.206	999999	5.634	999999	999999	999999	999999	8.6304	5.68661
							10.58	8.629	7.393	999999	178.78	13.9	0.206	999999	5.66	999999	999999	999999	999999	8.6284	5.7116
							10.89	8.655	7.397	999999	175.42	13.63	0.206	999999	5.662	999999	999999	999999	999999	8.6543	5.71386
							11.21	8.658	7.391	999999	171.27	13.31	0.206	999999	5.659	999999	999999	999999	999999	8.6573	5.71046
							11.56	8.579	7.377	999999	168.83	13.15	0.206	999999	5.657	999999	999999	999999	999999	8.5783	5.7083
							11.9	8.436	7.401	999999	167.62	13.09	0.206	999999	5.69	999999	999999	999999	999999	8.4353	5.74124
							12.26	8.293	7.406	999999	167.17	13.1	0.206	999999	5.707	999999	999999	999999	999999	8.2923	5.75921
							12.63	8.141	7.41	999999	167.17	13.15	0.206	999999	5.725	999999	999999	999999	999999	8.1403	5.77693
							13.01	7.972	7.446	999999	167.17	13.2	0.206	999999	5.769	999999	999999	999999	999999	7.9713	5.82077
							13.01	7.972	7.446	999999	167.45	13.22	0.206	999999	5.769	999999	999999	999999	999999	7.9713	5.82077
							13.35	7.778	7.42	999999	165.7	13.15	0.206	999999	5.766	999999	999999	999999	999999	7.7773	5.81761
							13.7	7.62	7.431	999999	167.65	13.35	0.206	999999	5.789	999999	999999	999999	999999	7.6193	5.84015
							14.06	7.506	7.448	999999	167.65	13.39	0.206	999999	5.812	999999	999999	999999	999999	7.5053	5.86382
							14.43	7.439	7.455	999999	165.91	13.27	0.206	999999	5.824	999999	999999	999999	999999	7.4383	5.87608
							14.78	7.371	7.458	999999	163.22	13.08	0.206	999999	5.834	999999	999999	999999	999999	7.3703	5.88513
							15.15	7.298	7.46	999999	160.04	12.85	0.206	999999	5.842	999999	999999	999999	999999	7.2973	5.8938
							15.5	7.232	7.457	999999	157.72	12.68	0.206	999999	5.846	999999	999999	999999	999999	7.2313	5.89789
							15.86	7.14	7.451	999999	157.72	12.71	0.206	999999	5.849	999999	999999	999999	999999	7.1393	5.90145
							16.23	7.002	7.436	999999	160.81	13	0.206	999999	5.849	999999	999999	999999	999999	7.0013	5.90105
							16.58	6.848	7.445	999999	158.92	12.9	0.206	999999	5.868	999999	999999	999999	999999	6.8473	5.92016
							16.94	6.733	7.451	999999	157.72	12.84	0.206	999999	5.882	999999	999999	999999	999999	6.7323	5.93414
							17.29	6.609	7.44	999999	156.27	12.76	0.206	999999	5.883	999999	999999	999999	999999	6.6083	5.93512
							17.63	6.466	7.43	999999	153.95	12.61	0.206	999999	5.886	999999	999999	999999	999999	6.4653	5.93779
							17.99	6.312	7.44	999999	152.76	12.56	0.206	999999	5.904	999999	999999	999999	999999	6.3113	5.95662
							18.34	6.212	7.439	999999	153.12	12.62	0.207	999999	5.911	999999	999999	999999	999999	6.2113	5.96336
							18.68	6.212	7.439	999999	153.12	12.62	0.207	999999	5.913	999999	999999	999999	999999	6.2113	5.96501
							18.68	6.212	7.425	999999	154.76	12.76	0.207	999999	5.902	999999	999999	999999	999999	6.2113	5.95401
							19.03	6.068	7.452	999999	153.59	12.71	0.207	999999	5.933	999999	999999	999999	999999	6.0673	5.98507
							19.38	6.014	7.449	999999	150.81	12.5	0.207	999999	5.935	999999	999999	999999	999999	6.0133	5.9874
							19.72	5.943	7.436	999999	149.37	12.4	0.207	999999	5.93	999999	999999	999999	999999	5.9423	5.98269
							20.08	5.785	7.437	999999	148.46	12.37	0.207	999999	5.941	999999	999999	999999	999999	5.7843	5.99356
							20.44	5.785	7.408	999999	152.85	12.74	0.207	999999	5.92	999999	999999	999999	999999	5.7843	5.9725
							20.81	5.511	7.442	999999	153.47	12.88	0.208	999999	5.963	999999	999999	999999	999999	5.5103	6.01467
							21.16	5.394	7.461	999999	153.7	12.93	0.208	999999	5.985	999999	999999	999999	999999	5.3934	6.03684
							21.5	5.348	7.468	999999	150.82	12.71	0.208	999999	5.994	999999	999999	999999	999999	5.3474	6.04613
							21.84	5.319	7.476	999999	148.14	12.49	0.208	999999	6.003	999999	999999	999999	999999	5.3183	6.05541
							22.18	5.312	7.487	999999	148.05	12.48	0.208	999999	6.014	999999	999999	999999	999999	5.3113	6.06605
							22.53	5.323	7.491	999999	147.67	12.45	0.208	999999	6.019	999999	999999	999999	999999	5.3223	6.07042
							22.88	5.328	7.486	999999	147.02	12.39	0.208	999999	6.016	999999	999999	999999	999999	5.3273	6.06796
							23.2	5.302	7.482	999999	145.65	12.28	0.208	999999	6.016	999999	999999	999999	999999	5.3013	6.06755
							23.53	5.236	7.485	999999	144.3	12.19	0.208	999999	6.022	999999	999999	999999	999999	5.2353	6.07446
							23.87	5.161	7.481	999999	144.05	12.19	0.208	999999	6.024	999999	999999	999999	999999	5.1603	6.07624
							24.25	5.059	7.48	999999	145.22	12.32	0.208	999999	6.029	999999	999999	999999	999999	5.0583	6.08162
							24.59	4.965	7.484	999999	146.42	12.45	0.208	999999	6.038	999999	999999	999999	999999	4.9643	6.09028
							24.9	4.874	7.488	999999	148.88	12.69	0.208	999999	6.046	999999	999999	999999	999999	4.8734	6.09856
							25.23	4.769	7.489	999999	146.02	12.48	0.208	999999	6.052	999999	999999	999999	999999	4.7684	6.10498
							25.54	4.66	7.487	999999	145.79	12.5	0.208	999999	6.057	999999	999999	999999	999999	4.6594	6.10891
							25.85	4.557	7.496	999999	145.09	12.47	0.208	999999	6.069	999999	999999	999999	999999	4.5564	6.12116
							26.17	4.461	7.487	999999	143.62	12.37	0.209	999999	6.066	999999	999999	999999	999999	4.4604	6.11886
							26.52	4.333	7.488	999999	144.25	12.47	0.209	999999	6.073	999999	999999	999999	999999	4.3325	6.12547
							26.85	4.224	7.501	999999	145.17	12.58	0.209	999999	6.088	999999	999999	999999	999999	4.2235	6.14069
							27.19	4.173	7.513	999999	145.17	12.6	0.209	999999	6.101	999999	999999	999999	999999	4.1725	6.15335
							27.19	4.173	7.513	999999	144.54	12.54	0.209	999999	6.101	999999	999999	999999	999999	4.1725	6.15335
							27.51	4.154	7.515	999999	143.75	12.48	0.209	999999	6.105	999999	999999	999999	999999	4.1535	6.15705
							27.84	4.137	7.511	999999	143.21	12.44	0.209	999999	6.103	999999	999999	999999	999999	4.1365	6.15599
							28.16	4.09	7.51	999999	142.13	12.36	0.209	999999	6.105	999999	999999	999999	999999	4.0895	6.15809
							28.46	4.031	7.512	999999	141.26	12.3	0.209	999999	6.11	999999	999999	999999	999999	4.0305	6.16276
							28.75	3.98	7.514	999999	140.75	12.28	0.209	999999	6.114	999999	999999	999999	999999	3.9795	6.16712
							29.04	3.94	7.518	999999	141.82	12.38	0.209	999999	6.12	999999	999999	999999	999999	3.9395	6.17275
							29.33	3.912	7.523	999999	143.71	12.56	0.209	999999	6.125	999999	999999	999999	999999	3.9115	6.17885
							29.6	3.887	7.514	999999	143.26	12.52	0.209	999999	6.121	999999	999999	999999	999999	3.8865	6.17367
							29.88	3.836	7.502	999999	142.48	12.47	0.209	999999	6.114	999999	999999	999999	999999	3.8355	6.16679
							30.15	3.732	7.497	999999	141.43	12.42	0.209	999999	6.113	999999	999999	999999	999999	3.7316	6.16657
							30.42	3.605	7.501	999999	140.75	12.4	0.209	999999	6.121	999999	999999	999999	999999	3.6046	6.1738
							30.68	3.493	7.51	999999	141.69	12.52	0.209	999999	6.131	999999	999999	999999	999999	3.4926	6.18443
							30.94	3.42	7.52	999999	142.98	12.65	0.209	999999	6.142	999999	999999	999999	999999	3.4196	6.19499
							31.17	3.381	7.531	999999	142.62	12.63	0.209	999999	6.152	999999	999999	999999	999999	3.3807	6.20555
							31.41	3.379	7.539	999999	141.56	12.54	0.209	999999	6.16	999999	999999	999999	999999	3.3787	6.21312
							31.65	3.39	7.537	999999	141.6	12.54	0.209	999999	6.159	999999	999999	999999	999999	3.3896	6.21253
							31.88	3.388	7.534	999999	140.77	12.47	0.209	999999	6.158	999999	999999	999999	999999	3.3876	6.21132
							32.11	3.375	7.531	999999	139.58	12.37	0.209	999999	6.156	999999	999999	999999	999999	3.3746	6.2103
							32.36	3.355	7.542	999999	138.39	12.27	0.209	999999	6.167	999999	999999	999999	999999	3.3546	6.22061
							32.59	3.371	7.542	999999	137.81	12.21	0.209	999999	6.168	999999	999999	999999	999999	3.3706	6.22147
							32.84	3.396	7.546	999999	138.93	12.3	0.209	999999	6.172	999999	999999	999999	999999	3.3956	6.22545
							33.11	3.416	7.536	999999	138.62	12.27	0.209	999999	6.165	999999	999999	999999	999999	3.4156	6.21849
							33.37	3.407	7.537	999999	138.54	12.26	0.21	999999	6.167	999999	999999	999999	999999	3.4066	6.22073
							33.65	3.399	7.537	999999	138.38	12.25	0.21	999999	6.169	999999	999999	999999	999999	3.3986	6.22225
							33.9	3.384	7.536	999999	139.04	12.31	0.21	999999	6.17	999999	999999	999999	999999	3.3836	6.22296
							34.16	3.367	7.537	999999	138.42	12.26	0.21	999999	6.171	999999	999999	999999	999999	3.3666	6.22533
							34.41	3.349	7.537	999999	138.18	12.25	0.21	999999	6.173	999999	999999	999999	999999	3.3486	6.22687
							34.62	3.332	7.541	999999	138.59	12.29	0.21	999999	6.178	999999	999999	999999	999999	3.3316	6.23137
							34.84	3.324	7.541	999999	139.07	12.34	0.21	999999	6.179	999999	999999	999999	999999	3.3236	6.23259
							35.08	3.321	7.54	999999	137.88	12.23	0.21	999999	6.179	999999	999999	999999	999999	3.3206	6.23304
							35.32	3.314	7.541	999999	137.2	12.17	0.21	999999	6.182	999999	999999	999999	999999	3.3136	6.23513
							35.57	3.308	7.541	999999	137.44	12.2	0.21	999999	6.183	999999	999999	999999	999999	3.3076	6.23647
							35.84	3.306	7.542	999999	137.79	12.23	0.21	999999	6.185	999999	999999	999999	999999	3.3056	6.23863
							36.09	3.304	7.543	999999	139.56	12.39	0.21	999999	6.187	999999	999999	999999	999999	3.3036	6.24069
							36.38	3.304	7.542	999999	138.42	12.28	0.21	999999	6.187	999999	999999	999999	999999	3.3036	6.24133
							36.66	3.302	7.543	999999	137.26	12.18	0.21	999999	6.19	999999	999999	999999	999999	3.3016	6.24354
							36.94	3.3	7.543	999999	137.1	12.17	0.21	999999	6.191	999999	999999	999999	999999	3.2996	6.24496
							37.21	3.295	7.543	999999	136.98	12.16	0.21	999999	6.192	999999	999999	999999	999999	3.2946	6.24637
							37.44	3.291	7.544	999999	137.15	12.18	0.21	999999	6.195	999999	999999	999999	999999	3.2906	6.24837
							37.67	3.287	7.543	999999	137.12	12.18	0.21	999999	6.195	999999	999999	999999	999999	3.2866	6.24878
							37.93	3.277	7.542	999999	136.58	12.13	0.21	999999	6.195	999999	999999	999999	999999	3.2766	6.24943
							38.19	3.258	7.543	999999	135.98	12.08	0.21	999999	6.198	999999	999999	999999	999999	3.2576	6.25181
							38.43	3.237	7.54	999999	136	12.09	0.21	999999	6.197	999999	999999	999999	999999	3.2366	6.25094
							38.69	3.211	7.543	999999	136.36	12.13	0.21	999999	6.201	999999	999999	999999	999999	3.2106	6.25501
							38.93	3.187	7.541	999999	137.35	12.23	0.21	999999	6.201	999999	999999	999999	999999	3.1866	6.25496
							39.17	3.162	7.542	999999	137.06	12.21	0.21	999999	6.203	999999	999999	999999	999999	3.1616	6.2573
							39.41	3.132	7.54	999999	136.62	12.18	0.21	999999	6.203	999999	999999	999999	999999	3.1317	6.25732
							39.66	3.095	7.534	999999	136.28	12.16	0.21	999999	6.2	999999	999999	999999	999999	3.0947	6.25429
							39.9	3.033	7.54	999999	136.21	12.17	0.21	999999	6.207	999999	999999	999999	999999	3.0327	6.26105
							40.13	2.993	7.541	999999	136.4	12.21	0.21	999999	6.209	999999	999999	999999	999999	2.9927	6.26346
							40.37	2.957	7.547	999999	136.69	12.24	0.21	999999	6.216	999999	999999	999999	999999	2.9567	6.26984
							40.58	2.93	7.544	999999	136.83	12.26	0.21	999999	6.214	999999	999999	999999	999999	2.9297	6.26879
							40.81	2.893	7.548	999999	136.41	12.24	0.21	999999	6.219	999999	999999	999999	999999	2.8927	6.2735
							41.04	2.858	7.546	999999	135.78	12.19	0.21	999999	6.219	999999	999999	999999	999999	2.8578	6.2734
							41.26	2.818	7.546	999999	136.01	12.23	0.21	999999	6.22	999999	999999	999999	999999	2.8178	6.27487
							41.46	2.767	7.553	999999	135.73	12.22	0.21	999999	6.227	999999	999999	999999	999999	2.7668	6.28188
							41.65	2.734	7.556	999999	135.38	12.2	0.21	999999	6.231	999999	999999	999999	999999	2.7338	6.28548
							41.89	2.715	7.563	999999	135.48	12.21	0.21	999999	6.238	999999	999999	999999	999999	2.7148	6.29239
							42.13	2.72	7.57	999999	135.44	12.2	0.21	999999	6.245	999999	999999	999999	999999	2.7198	6.29911
							42.35	2.726	7.582	999999	135.02	12.16	0.21	999999	6.255	999999	999999	999999	999999	2.7258	6.30971
							42.6	2.747	7.585	999999	135.24	12.18	0.21	999999	6.259	999999	999999	999999	999999	2.7468	6.31317
							42.84	2.761	7.59	999999	135.29	12.18	0.21	999999	6.264	999999	999999	999999	999999	2.7608	6.31822
							43.1	2.762	7.598	999999	135.2	12.17	0.211	999999	6.272	999999	999999	999999	999999	2.7618	6.32587
							43.34	2.763	7.604	999999	135.01	12.15	0.211	999999	6.278	999999	999999	999999	999999	2.7628	6.33183
							43.6	2.752	7.61	999999	135.07	12.16	0.211	999999	6.283	999999	999999	999999	999999	2.7518	6.33798
							43.84	2.729	7.628	999999	134.8	12.14	0.211	999999	6.299	999999	999999	999999	999999	2.7288	6.35369
							44.11	2.682	7.653	999999	134.38	12.11	0.211	999999	6.321	999999	999999	999999	999999	2.6818	6.3753
							44.36	2.634	7.674	999999	134.37	12.13	0.211	999999	6.339	999999	999999	999999	999999	2.6338	6.3936
							44.61	2.601	7.687	999999	134.64	12.16	0.211	999999	6.351	999999	999999	999999	999999	2.6008	6.40541
							44.87	2.583	7.692	999999	135	12.2	0.211	999999	6.357	999999	999999	999999	999999	2.5828	6.4108
							45.14	2.576	7.696	999999	135.09	12.21	0.211	999999	6.361	999999	999999	999999	999999	2.5758	6.41537
							45.37	2.573	7.7	999999	135.14	12.21	0.211	999999	6.366	999999	999999	999999	999999	2.5728	6.41971
							45.62	2.57	7.706	999999	134.68	12.17	0.211	999999	6.371	999999	999999	999999	999999	2.5698	6.42575
							45.85	2.568	7.708	999999	134.53	12.16	0.211	999999	6.374	999999	999999	999999	999999	2.5678	6.4285
							46.09	2.563	7.712	999999	133.98	12.11	0.211	999999	6.378	999999	999999	999999	999999	2.5628	6.43291
							46.32	2.562	7.713	999999	133.81	12.1	0.211	999999	6.381	999999	999999	999999	999999	2.5618	6.43485
							46.56	2.562	7.713	999999	133.88	12.1	0.211	999999	6.382	999999	999999	999999	999999	2.5618	6.43604
							46.82	2.561	7.715	999999	133.1	12.03	0.211	999999	6.384	999999	999999	999999	999999	2.5608	6.43893
							47.08	2.561	7.715	999999	132.68	12	0.211	999999	6.386	999999	999999	999999	999999	2.5608	6.44022
							47.35	2.562	7.715	999999	133.52	12.07	0.211	999999	6.387	999999	999999	999999	999999	2.5618	6.44156
							47.62	2.563	7.716	999999	133.61	12.08	0.211	999999	6.389	999999	999999	999999	999999	2.5628	6.44369
							47.9	2.562	7.717	999999	133.06	12.03	0.211	999999	6.391	999999	999999	999999	999999	2.5618	6.44588
							48.16	2.564	7.722	999999	132.41	11.97	0.211	999999	6.396	999999	999999	999999	999999	2.5638	6.45114
							48.44	2.568	7.737	999999	132.27	11.95	0.211	999999	6.41	999999	999999	999999	999999	2.5678	6.46445
							48.75	2.573	7.75	999999	132.18	11.94	0.211	999999	6.421	999999	999999	999999	999999	2.5728	6.47632
							49.02	2.58	7.764	999999	132.17	11.94	0.211	999999	6.434	999999	999999	999999	999999	2.5798	6.48876
							49.32	2.591	7.775	999999	132.03	11.92	0.211	999999	6.444	999999	999999	999999	999999	2.5908	6.49894
							49.58	2.603	7.797	999999	131.94	11.91	0.211	999999	6.463	999999	999999	999999	999999	2.6028	6.51766
							49.8	2.625	7.799	999999	132.13	11.92	0.211	999999	6.466	999999	999999	999999	999999	2.6248	6.52019
							49.99	2.636	7.801	999999	132.61	11.96	0.211	999999	6.468	999999	999999	999999	999999	2.6358	6.52264
							50.14	2.644	7.801	999999	132.95	11.99	0.211	999999	6.469	999999	999999	999999	999999	2.6438	6.52333
							50.25	2.646	7.801	999999	132.96	11.99	0.211	999999	6.469	999999	999999	999999	999999	2.6458	6.52386
							50.33	2.648	7.8	999999	133.02	11.99	0.21	999999	6.469	999999	999999	999999	999999	2.6478	6.52344
							50.37	2.647	7.801	999999	133.18	12.01	0.21	999999	6.47	999999	999999	999999	999999	2.6468	6.52445
							50.42	2.648	7.802	999999	133.29	12.01	0.21	999999	6.471	999999	999999	999999	999999	2.6478	6.52548
							50.45	2.647	7.8	999999	133.36	12.02	0.209	999999	6.469	999999	999999	999999	999999	2.6468	6.52405
							50.46	2.645	7.801	999999	133.02	11.99	0.209	999999	6.47	999999	999999	999999	999999	2.6448	6.52491
							50.48	2.643	7.801	999999	132.84	11.98	0.209	999999	6.47	999999	999999	999999	999999	2.6428	6.52502
							50.48	2.641	7.803	999999	132.88	11.98	0.208	999999	6.472	999999	999999	999999	999999	2.6408	6.52663
							50.48	2.639	7.805	999999	132.85	11.98	0.208	999999	6.474	999999	999999	999999	999999	2.6388	6.52824
							50.48	2.64	7.805	999999	132.72	11.97	0.208	999999	6.474	999999	999999	999999	999999	2.6398	6.52823
Aquarius2	Aq45	C	2006-07-04T22:24			51	-0.3	21.768	7.116	999999	175.52	10.33	0.163	999999	3.206	999999	999999	999999	999999	21.7681	3.26022
							-0.25	21.768	7.116	999999	175.29	10.32	0.163	999999	3.206	999999	999999	999999	999999	21.768	3.26044
							-0.25	21.77	7.117	999999	175.35	10.32	0.163	999999	3.206	999999	999999	999999	999999	21.77	3.26072
							-0.25	21.768	7.116	999999	175.52	10.33	0.163	999999	3.206	999999	999999	999999	999999	21.768	3.26044
							-0.07	21.774	7.117	999999	175.39	10.32	0.163	999999	3.206	999999	999999	999999	999999	21.774	3.2606
							0.1	21.777	7.116	999999	175.39	10.32	0.163	999999	3.205	999999	999999	999999	999999	21.777	3.25991
							0.3	21.777	7.116	999999	175.33	10.32	0.163	999999	3.206	999999	999999	999999	999999	21.7769	3.26082
							0.3	21.777	7.116	999999	175.39	10.32	0.163	999999	3.206	999999	999999	999999	999999	21.7769	3.26082
							0.51	21.777	7.114	999999	175.33	10.32	0.163	999999	3.206	999999	999999	999999	999999	21.7769	3.26027
							0.68	21.763	7.117	999999	176.37	10.38	0.163	999999	3.212	999999	999999	999999	999999	21.7629	3.26661
							0.84	21.763	7.117	999999	176.71	10.4	0.163	999999	3.212	999999	999999	999999	999999	21.7629	3.26734
							0.99	21.757	7.105	999999	176.31	10.38	0.163	999999	3.206	999999	999999	999999	999999	21.7568	3.26042
							1.12	21.757	7.102	999999	176.2	10.37	0.163	999999	3.204	999999	999999	999999	999999	21.7568	3.25875
							1.12	21.757	7.102	999999	175.91	10.35	0.163	999999	3.204	999999	999999	999999	999999	21.7568	3.25875
							1.12	21.757	7.102	999999	175.91	10.35	0.163	999999	3.204	999999	999999	999999	999999	21.7568	3.25875
							1.41	21.757	7.102	999999	175.78	10.35	0.163	999999	3.205	999999	999999	999999	999999	21.7568	3.26007
							1.53	21.692	7.112	999999	176.66	10.41	0.163	999999	3.229	999999	999999	999999	999999	21.6917	3.28348
							1.53	21.692	7.112	999999	176.66	10.41	0.163	999999	3.229	999999	999999	999999	999999	21.6917	3.28348
							2.81	21.371	7.121	999999	176.29	10.45	0.163	999999	3.317	999999	999999	999999	999999	21.3705	3.37126
							2.81	21.371	7.121	999999	176.29	10.45	0.163	999999	3.317	999999	999999	999999	999999	21.3705	3.37126
							4.78	19.521	7.088	999999	197.23	12.13	0.164	999999	3.713	999999	999999	999999	999999	19.5203	3.76872
							5.26	19.029	7.092	999999	197.23	12.25	0.164	999999	3.823	999999	999999	999999	999999	19.0282	3.87805
							5.5	18.702	7.147	999999	196.9	12.3	0.165	999999	3.934	999999	999999	999999	999999	18.7012	3.98862
							6.18	18.702	6.957	999999	196.9	12.32	0.165	999999	3.792	999999	999999	999999	999999	18.7011	3.84787
							6.84	15.849	7.014	999999	218.26	14.47	0.167	999999	4.382	999999	999999	999999	999999	15.8482	4.43756
							7.05	15.849	7.014	999999	218.26	14.47	0.167	999999	4.383	999999	999999	999999	999999	15.8481	4.43854
							8.3	13.516	7.277	999999	212.69	14.8	0.168	999999	4.971	999999	999999	999999	999999	13.5151	5.02425
							8.67	13.322	7.192	999999	196.98	13.78	0.168	999999	4.936	999999	999999	999999	999999	13.3211	4.98948
							8.67	13.516	7.277	999999	201.22	14.01	0.168	999999	4.972	999999	999999	999999	999999	13.5151	5.02599
							9.07	12.965	7.26	999999	195.49	13.77	0.168	999999	5.041	999999	999999	999999	999999	12.9641	5.09532
							9.27	12.652	7.217	999999	200.25	14.21	0.169	999999	5.054	999999	999999	999999	999999	12.6511	5.10733
							9.45	12.439	7.258	999999	200.25	14.28	0.169	999999	5.116	999999	999999	999999	999999	12.4381	5.1691
							9.45	12.439	7.258	999999	202.53	14.44	0.169	999999	5.116	999999	999999	999999	999999	12.4381	5.1691
							9.73	12.223	7.257	999999	194.21	13.91	0.169	999999	5.145	999999	999999	999999	999999	12.2221	5.1989
							9.83	12.16	7.253	999999	194.21	13.93	0.168	999999	5.151	999999	999999	999999	999999	12.1591	5.20471
							9.83	12.16	7.253	999999	194.21	13.93	0.169	999999	5.151	999999	999999	999999	999999	12.1591	5.20471
							10.03	12.16	7.253	999999	178.68	12.82	0.169	999999	5.152	999999	999999	999999	999999	12.1591	5.20566
							10.15	11.751	7.333	999999	175.62	12.71	0.17	999999	5.268	999999	999999	999999	999999	11.7501	5.32147
							10.36	11.751	7.333	999999	175.62	12.71	0.17	999999	5.269	999999	999999	999999	999999	11.7501	5.32246
							10.55	11.751	7.255	999999	177.17	12.83	0.17	999999	5.21	999999	999999	999999	999999	11.7501	5.2632
							10.66	11.548	7.295	999999	174.14	12.66	0.17	999999	5.267	999999	999999	999999	999999	11.5471	5.32042
							11	11.377	7.272	999999	169.99	12.41	0.17	999999	5.272	999999	999999	999999	999999	11.3761	5.32566
							11.18	11.377	7.251	999999	166.69	12.17	0.17	999999	5.258	999999	999999	999999	999999	11.3761	5.31029
							11.38	11.128	7.261	999999	168.29	12.36	0.17	999999	5.296	999999	999999	999999	999999	11.1271	5.34945
							11.6	11.128	7.227	999999	170.57	12.53	0.171	999999	5.271	999999	999999	999999	999999	11.127	5.32422
							12.04	10.746	7.302	999999	170.57	12.63	0.171	999999	5.377	999999	999999	999999	999999	10.745	5.4296
							12.25	10.266	7.336	999999	177.06	13.25	0.172	999999	5.459	999999	999999	999999	999999	10.2651	5.51136
