Date;Time;Depth,m;Conducnivity,S/m;Temperature,°C;Salinity,PSU;SigmaT,kg/m3;O2%;O2mg/l;pH;Cruise;Type;Bot.Depth;Longitude;Latitude;Station
07/17/2014;01:00:00;0,6342;10,45696;18,73784;6,8107;3,6493;108,884;9,728;10,2464;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;0,603;10,45691;18,73866;6,8105;3,6489;108,917;9,73;10,2463;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;0,5763;10,45728;18,73794;6,8109;3,6492;108,94;9,733;10,2461;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;0,5502;10,45673;18,73746;6,8106;3,6489;108,971;9,735;10,246;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;0,5247;10,45676;18,73664;6,8108;3,6491;108,993;9,738;10,2457;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;0,5119;10,45774;18,73604;6,8116;3,6498;109,023;9,74;10,2456;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;0,5004;10,45756;18,73604;6,8114;3,6496;109,027;9,741;10,2454;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;0,4937;10,45688;18,73583;6,811;3,6493;109,03;9,741;10,2453;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;0,4816;10,45609;18,73552;6,8105;3,6489;109,021;9,74;10,2456;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;0,4742;10,45692;18,73514;6,8111;3,6495;109,025;9,741;10,246;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;0,4718;10,45699;18,73454;6,8113;3,6497;109,03;9,741;10,246;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;0,4728;10,45685;18,73408;6,8112;3,6498;109,034;9,742;10,2459;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;0,482;10,45695;18,73415;6,8113;3,6498;109,036;9,742;10,2457;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;0,5011;10,45659;18,73358;6,8111;3,6499;109,037;9,742;10,2457;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;0,5305;10,4559;18,73356;6,8107;3,6497;109,025;9,741;10,246;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;0,5746;10,45619;18,73238;6,8111;3,6504;109,032;9,742;10,2465;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;0,6213;10,45602;18,73172;6,811;3,6508;109,022;9,741;10,2476;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;0,6811;10,45556;18,73153;6,8107;3,6509;109,039;9,743;10,2491;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;0,7405;10,4554;18,73104;6,8107;3,6512;109,033;9,742;10,2503;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;0,8178;10,45568;18,73046;6,811;3,6519;109,029;9,742;10,2527;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;0,8748;10,4559;18,73106;6,811;3,6521;109,027;9,742;10,2536;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;0,9157;10,45629;18,73082;6,8113;3,6525;109,022;9,741;10,2552;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;0,9335;10,45607;18,73091;6,8112;3,6525;109,023;9,741;10,2643;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;0,9727;10,45611;18,73094;6,8112;3,6527;109,054;9,744;10,2642;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,0044;10,45645;18,73072;6,8115;3,6531;109,086;9,747;10,2597;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,0243;10,45595;18,73084;6,8111;3,6528;109,109;9,749;10,2561;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,0403;10,45655;18,73139;6,8114;3,653;109,129;9,751;10,2534;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,0638;10,45661;18,73144;6,8115;3,6532;109,166;9,754;10,2514;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,0884;10,45655;18,73146;6,8114;3,6532;109,202;9,757;10,2499;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,1166;10,45697;18,73208;6,8116;3,6534;109,211;9,758;10,2485;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,1422;10,45696;18,73167;6,8117;3,6536;109,22;9,759;10,2477;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,1742;10,45634;18,73176;6,8112;3,6534;109,215;9,758;10,2469;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,21;10,45626;18,73218;6,8111;3,6534;109,212;9,758;10,2464;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,2509;10,45588;18,73149;6,8109;3,6536;109,198;9,757;10,246;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,2803;10,4559;18,73116;6,811;3,6539;109,172;9,755;10,2457;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,3203;10,4558;18,73133;6,8109;3,6539;109,155;9,753;10,2454;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,3465;10,45521;18,73055;6,8106;3,654;109,122;9,75;10,245;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,3837;10,45525;18,73061;6,8106;3,6542;109,122;9,75;10,2446;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,4066;10,4547;18,72984;6,8104;3,6542;109,093;9,748;10,2443;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,4418;10,45475;18,72845;6,8106;3,6549;109,061;9,745;10,2443;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,4687;10,45453;18,72823;6,8105;3,6549;109,031;9,743;10,244;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,4942;10,45496;18,7275;6,8109;3,6555;109,004;9,74;10,2437;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,5218;10,4552;18,72721;6,8111;3,6559;108,975;9,738;10,2433;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,5399;10,45477;18,72594;6,811;3,6561;108,948;9,736;10,2428;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,5599;10,4548;18,72529;6,8112;3,6565;108,935;9,735;10,2428;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,5752;10,45478;18,72486;6,8112;3,6567;108,924;9,734;10,2426;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,5977;10,45507;18,72499;6,8114;3,6569;108,899;9,732;10,2424;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,608;10,4557;18,72425;6,812;3,6575;108,891;9,731;10,2421;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,6196;10,45557;18,72339;6,812;3,6578;108,872;9,729;10,2417;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,6314;10,45585;18,72315;6,8122;3,658;108,852;9,728;10,2414;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,6452;10,45627;18,72321;6,8125;3,6583;108,827;9,725;10,241;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,6556;10,45639;18,72284;6,8127;3,6585;108,805;9,723;10,2406;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,6677;10,4561;18,7228;6,8125;3,6585;108,781;9,721;10,2402;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,6829;10,45648;18,72197;6,8129;3,659;108,774;9,721;10,24;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,6933;10,45639;18,72218;6,8128;3,6589;108,762;9,72;10,2395;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,706;10,45705;18,72274;6,8131;3,6592;108,739;9,717;10,2392;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,7218;10,45653;18,72307;6,8127;3,6588;108,71;9,715;10,2394;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,7329;10,45663;18,72281;6,8128;3,659;108,704;9,714;10,2392;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,7517;10,45712;18,72289;6,8132;3,6593;108,69;9,713;10,2391;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,7677;10,45648;18,72291;6,8127;3,6591;108,684;9,713;10,2388;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,784;10,45609;18,72301;6,8124;3,6589;108,677;9,712;10,2383;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,8028;10,4564;18,72301;6,8126;3,6592;108,663;9,711;10,238;Komplex_July_2014;C;50;19,9298;55,0487;15
07/17/2014;01:00:00;1,8344;10,45718;18,72246;6,8133;3,6599;108,659;9,71;10,2377;Komplex_July_2014;C;50;19,9298;55,0487;15
